Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime
PI040298AD5J215142,54.98,-7.923,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5tjrqt1c,2018-10-17T13:14:07.000Z,2018-10-17T13:59:07.000Z
PI040298AD5J215095,54.964,-7.968,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fqzb9jsq,2018-10-17T13:31:11.000Z,2018-12-29T09:40:49.000Z
PI040298AD5J214214,54.979,-7.922,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_mqe06kvv,2018-10-17T13:22:33.000Z,2018-10-17T14:07:33.000Z
PI040298AD5J214635,54.981,-7.924,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_xw97j79a,2018-10-17T13:02:55.000Z,2018-10-17T14:32:55.000Z
PI040298AD5G203425,54.98,-7.924,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fzja2fbn,2018-10-17T13:11:22.000Z,2018-10-17T13:56:22.000Z
PI040297AD5I205461,56.639,-2.88,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qv71bqpk,2018-10-20T19:46:34.000Z,2019-04-01T21:07:01.000Z
PI040297AD5I203550,56.639,-2.881,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vz0587gv,2018-10-20T19:54:07.000Z,2019-04-06T09:03:17.000Z
"PI040297AD5I210109. FuturePractice:,Id:461,LandCoverOverlay:,LandCoverTypes:[Additional:[],Cover:> 91%,Id:4056,Name:Vegetables and crops, herbs and ornamentals],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Field or grazing pasture,Latitude:56.5722961,Longitude:-3.23392773,ParcelSize:> 10 ha,Photos:,SensorId:STC_FMT_crop_control,SensorMissionManagement:true,SensorOnMulchedGround:false,SensorOvergrown:true,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Flat,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-12-22T12:47:44.669394+00:",56.572,-3.234,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_pgr59nte,2018-10-20T16:11:44.000Z,2019-05-12T19:00:16.000Z
PI040297AD5I207079,56.573,-3.233,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_km5mg7g1,2018-10-18T14:36:18.000Z,2019-10-10T13:44:55.000Z
PI040297AD5I207232,55.729,-3.213,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ds5tv3jd,2018-09-29T10:22:16.000Z,2019-08-03T19:22:15.000Z
PI040297AD5I209754,56.752,-3.542,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_m55057am,2018-10-27T11:45:01.000Z,2018-11-30T12:28:41.000Z
PI040297AD5I209955,55.812,-4.24,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_wy1zkq3g,2018-09-05T17:40:36.000Z,2019-05-04T12:13:49.000Z
PI040297AD5I206557,55.811,-4.24,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_60524ca5,2018-09-05T17:28:03.000Z,2019-05-04T12:16:30.000Z
PI040297AD5I206501,56.472,-2.887,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_02krq5q5,2018-10-28T14:52:07.000Z,2019-03-06T09:46:10.000Z
PI040298AD5I213211,52.346,-7.319,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_g5j5w8gq,2018-10-31T16:05:45.000Z,2019-02-28T11:03:00.000Z
PI040298AD5I211450,54.964,-7.969,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9aaqtyqg,2018-10-15T22:38:30.000Z,2018-11-01T12:07:16.000Z
PI040297AD5J210774,53.443,-1.934,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_y09h8hsh,2017-02-22T11:09:38.000Z,2018-08-29T17:55:11.000Z
PI040297AD5J210685,53.444,-1.933,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rcqe7rwr,2017-02-08T14:20:52.000Z,2018-10-01T22:40:23.000Z
PI040297AD5J210384,51.495,-0.135,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_48nws5xr,2017-10-25T10:23:01.000Z,2017-10-26T08:53:01.000Z
PI040297AA3L024781,55.827,-3.221,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_m65ex1jn,2017-06-30T00:22:07.000Z,2019-02-08T18:28:01.000Z
PI040298AD5J214264,52.252,-7.071,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_3mza6wr1,2018-11-04T16:17:18.000Z,2018-11-07T15:47:12.000Z
PI040297AD5I206516,56.532,-3.174,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_4ksnqgcd,2018-09-25T23:42:22.000Z,2019-01-20T12:29:37.000Z
PI040297AD5I207763,56.532,-3.173,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5mstxh58,2018-09-23T14:01:31.000Z,2019-08-03T13:47:54.000Z
PI040297AD5I210018,56.535,-3.172,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_amcnrmdc,2018-09-23T14:24:50.000Z,2019-01-20T13:41:23.000Z
PI040297AD5I210053,56.534,-3.173,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_w3xaq340,2018-09-23T14:52:30.000Z,2019-01-20T13:20:20.000Z
PI040297AD5I206136,56.532,-3.176,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_kbbkhfq9,2018-09-23T14:48:15.000Z,2018-11-09T16:17:02.000Z
PI040297AD5I209621,56.535,-3.173,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qwyhbdw9,2018-11-06T09:38:52.000Z,2019-01-20T13:05:23.000Z
"PI040298AD5I211752. FuturePractice:,Id:507,LandCoverOverlay:,LandCoverTypes:[Additional:[Fruit and nut trees (incl. olives)],Cover:< 5%,Id:4054,Name:Trees,Additional:[Other shrubs],Cover:26-50%,Id:4055,Name:Shrubs,Additional:[],Cover:26-50%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Field or grazing pasture,Latitude:36.9230042,Longitude:22.6938553,ParcelSize:0.01  0.5 ha,Photos:,SensorId:02,SensorMissionManagement:true,SensorOnMulchedGround:false,SensorOvergrown:true,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Micro-high,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2019-02-01T09:03:11.520495+00:",52.275,-7.116,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_1z7wsywm,2018-11-07T18:02:11.000Z,2018-11-11T13:47:11.000Z
PI040298AD5I207313,52.252,-7.097,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_mnarpyf7,2018-11-07T18:32:57.000Z,2019-04-08T07:38:13.000Z
PI040298AD5J214511,55.076,-7.986,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_gfn07e9r,2018-10-03T12:01:38.000Z,2018-11-12T13:41:12.000Z
PI040298AD5J214877,55.142,-8.135,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_zee94w96,2018-07-11T21:18:52.000Z,2019-02-01T09:26:57.000Z
PI040298AD5J214739,55.124,-8.14,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_g9qq9ccm,2018-07-11T21:25:27.000Z,2018-11-12T13:06:52.000Z
PI040298AD5J214713,52.361,-7.348,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_txrwsx68,2018-10-31T15:45:54.000Z,2019-07-26T12:45:40.000Z
PI040298AD5I213060,52.328,-7.283,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_pa2f1d32,2018-10-31T17:48:33.000Z,2019-06-11T16:15:17.000Z
PI040298AD5I213693,56.559,-2.595,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_wf2kqxp2,2018-11-15T14:18:58.000Z,2019-04-22T09:57:22.000Z
PI040297AD5I207062,56.553,-3.249,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ct5ygbqb,2018-11-15T15:05:44.000Z,2019-04-28T19:10:52.000Z
PI040298AD5I212262,56.559,-2.594,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_mp11ax65,2018-11-15T14:30:53.000Z,2019-08-13T08:28:18.000Z
PI040298AD5I211538,56.713,-2.777,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_33rx1e84,2018-11-16T10:08:19.000Z,2019-06-17T08:25:30.000Z
PI040298AD5J215092,56.728,-2.765,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hvy603qp,2018-11-17T14:20:04.000Z,2019-06-25T12:13:52.000Z
PI040298AD5I206094,56.714,-2.779,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_e0ejwk3f,2018-11-16T14:01:29.000Z,2019-06-17T09:09:15.000Z
PI040298AD5I208714,56.713,-2.78,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_f58vv68k,2018-11-16T13:51:13.000Z,2019-06-17T08:54:45.000Z
PI040298AD5I208735,56.73,-2.766,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_8wveae08,2018-11-17T13:47:56.000Z,2019-06-18T14:51:29.000Z
PI040298AD5I208719,56.713,-2.778,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_j22xc35a,2018-11-16T10:16:12.000Z,2019-01-03T15:29:47.000Z
PI040298AD5J214292,56.729,-2.765,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9qr373h3,2018-11-17T14:09:33.000Z,2019-06-03T14:43:38.000Z
PI040298AD5I211592,56.712,-2.779,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_neg1jnx9,2018-11-16T13:39:05.000Z,2019-06-17T08:40:51.000Z
PI040298AD5I208774,56.713,-2.779,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9g9j09gs,2018-11-16T13:30:12.000Z,2019-06-17T08:39:05.000Z
PI040298AD5I207543,56.714,-2.78,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ejreq6w3,2018-11-16T14:18:35.000Z,2019-02-18T08:29:07.000Z
PI040298AD5I213834,52.252,-7.187,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ta8f2298,2018-11-01T14:42:47.000Z,2019-05-09T11:25:16.000Z
PI040298AD5J214880,52.254,-7.185,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7m5v988p,2018-11-06T22:17:56.000Z,2018-11-22T17:53:00.000Z
PI040298AD5I208190,56.558,-2.595,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7eqwh71s,2018-11-15T14:37:23.000Z,2019-06-14T12:45:09.000Z
PI040297AA3L026081,53.485,-2.236,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_p2a1mtve,2017-10-11T20:34:32.000Z,2017-11-17T14:47:10.000Z
PI040297AA4C038594,56.265,-3.88,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_9ay4ejtz,2017-02-24T05:34:44.000Z,2018-05-18T17:21:57.000Z
PI040297AA3L024870,51.44,-0.032,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vh1tsjhq,2017-08-13T10:29:43.000Z,2017-10-21T09:13:25.000Z
PI040297AD5I209981,56.457,-2.976,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_h3artq9r,2018-05-30T20:39:42.000Z,2019-06-08T11:23:18.000Z
PI040298AD5I205652,54.965,-7.97,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rrwhdey2,2018-06-04T12:55:43.000Z,2018-11-25T14:51:07.000Z
PI040298AD5J215125,54.965,-7.969,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_95qqf1qz,2018-06-02T13:35:57.000Z,2018-11-25T14:43:45.000Z
PI040298AD5J214799,54.966,-7.972,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_emqv9amk,2018-06-05T20:35:30.000Z,2018-06-06T11:20:28.000Z
PI040298AD5J214296,54.966,-7.971,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ftbfb9a2,2018-06-05T20:23:10.000Z,2019-03-11T12:33:33.000Z
PI040298AD5J214461,54.964,-7.97,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_775gpwm5,2018-06-05T21:06:11.000Z,2018-11-25T15:50:47.000Z
PI040298AD5J214805,54.965,-7.972,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_qkkwr4n5,2018-06-05T20:52:04.000Z,2018-11-25T15:25:37.000Z
PI040298AD5I212329,54.965,-7.971,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_ezg7qmt6,2018-06-05T20:57:06.000Z,2019-03-11T12:57:57.000Z
PI040298AD5J214872,54.966,-7.973,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_7baxe670,2018-06-05T20:49:32.000Z,2018-11-25T15:24:45.000Z
PI040298AD5J214810,55.105,-8.266,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_scz4bmje,2018-06-06T17:56:02.000Z,2018-12-25T12:01:31.000Z
PI040297AD5J210742,56.456,-2.992,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_yaemkqdx,2018-06-06T15:27:11.000Z,2018-09-21T13:22:29.000Z
PI040297AD5I205907,56.546,-3.276,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_gzhasvy9,2018-06-18T20:05:45.000Z,2019-03-30T18:43:38.000Z
PI040297AD5I207034,56.545,-3.276,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fjsjtvdm,2018-06-18T20:09:51.000Z,2018-10-15T10:48:20.000Z
